"","Airline","City","Delayed","Pct_Delay","Mean_Pct_Delay","Pct_SD","Avg_Pct_SD"
"1","AM West","Los_Angeles",117,0.144266337854501,0.0217854671280277,0.00144,0.001832
"2","AM West","Phoenix",415,0.0789724072312084,0.0217854671280277,0.00067,0.001832
"3","AM West","San_Diego",65,0.145089285714286,0.0217854671280277,0.00145,0.001832
"4","AM West","San_Francisco",129,0.287305122494432,0.0217854671280277,0.00312,0.001832
"5","AM West","Seattle",61,0.232824427480916,0.0217854671280277,0.00248,0.001832
"6","Alaska","Los_Angeles",62,0.110912343470483,0.0265430463576159,0.00137,0.001388
"7","Alaska","Phoenix",12,0.0515021459227468,0.0265430463576159,0.00041,0.001388
"8","Alaska","San_Diego",20,0.0862068965517241,0.0265430463576159,0.00097,0.001388
"9","Alaska","San_Francisco",102,0.168595041322314,0.0265430463576159,0.00231,0.001388
"10","Alaska","Seattle",305,0.142124883504194,0.0265430463576159,0.00188,0.001388
