"","Airline","City","Delayed","Pct_Delay","Pct_SD","Airline_Delay_Pct"
"1","ALASKA","Los.Angeles",62,0.110912343470483,0.110692623809141,0.0693425605536332
"2","ALASKA","Phoenix",12,0.0515021459227468,0.110692623809141,0.0693425605536332
"3","ALASKA","San.Diego",20,0.0862068965517241,0.110692623809141,0.0693425605536332
"4","ALASKA","San.Francisco",102,0.168595041322314,0.110692623809141,0.0693425605536332
"5","ALASKA","Seattle",305,0.142124883504194,0.110692623809141,0.0693425605536332
"6","AM WEST","Los.Angeles",117,0.144266337854501,0.187889389440571,0.208476821192053
"7","AM WEST","Phoenix",415,0.0789724072312084,0.187889389440571,0.208476821192053
"8","AM WEST","San.Diego",65,0.145089285714286,0.187889389440571,0.208476821192053
"9","AM WEST","San.Francisco",129,0.287305122494432,0.187889389440571,0.208476821192053
"10","AM WEST","Seattle",61,0.232824427480916,0.187889389440571,0.208476821192053
